Equity issue, day of week, description (from line)
1895-09-26, a day,  The commissariat of the Spifcalg Home ie carefully organized on the restaurant principle. The Poor Law Department instead of providing the inmates with food allows them to buy it for themselves and to thin end give esch of them 26 k#eut%erm or about ten cents a day. The old people under no obligation to go to the home restaurant but they rarely fail to do so.
1895-09-26, other day,  Mr. J. Irwin tinsmith fell 35 feet at London the other day and immediately went to work again.
1895-09-26, holiday,  Miss Edna McKay and master Artie returned home on Saturday evening last from River du Loup where they have been spending their holidays for the past two months.
1895-09-26, Friday,  Wain nun 2.	the year than was experienced on Friday |	J. 	XtVtilJN Ol/JN	.
1895-09-26, Monday,  Mr. S. Young wife and child left Monday to pay a short visit to relatives in Goulburn.
1895-09-26, Sunday,  Rev. Thomas Shields of Portage du Robinson 1.	j Shaw ville on Sunday Sept. 29th.
Binary file 1895-09-26,  matches
1895-10-03, Monday,  Mr. J. M. Maodoogall Q. 0. of Hull was married on Monday evening last to
1895-10-03, Tuseday,  taxation in Montreal is estimated at nine	on Tuseday night 1st inst.
1895-10-03, Saturday,  Friday and Saturday September 27 and 28
1895-10-03, that day,  1	the oublie accommodation and has	for $16000	a	mile	or lease to the A. & | that day lightening struck a rock near	called and that occurred in the northern	accorded to every British eul ject.
1895-10-03, Saturday,  Hector Berihelot a very popular ** owumoce on Saturday laat-an oc	--
1895-10-03, eome day,  not	strange	that	Europe as	well	as the	Solomon whose name waa Sarah was also	that the leading authorities agree that	eome days before. On	the	morning of
1895-10-03, a day,  dowk me master. A cove gets	dry inside land at 22 $	years' purchase ; eo since hie three or four times a day. He had	eight
1895-10-03, few day,  A few days ago at a shooting party la
1895-10-03, to day,  Fills I would to day have bean a physical wood Chips.
1895-10-03, few day,  Our new Store will be ready for business in a few days.
1895-10-03, Thursday,  lion of English agriculture occurred at A monument to the heroes who fell in the sale of Langdon Abbey on Thursday defence of Canada at Chryaler'e farm on
1895-10-03, Thursday,  stabling homestead and seven modern	by Hon. John Hsggart on Thursday last	Be	3111*6 and	3( 0 OUF	g
1895-10-03, 10th day,  Given at Sbawvllle this 10th day of September 1885.
1895-10-03, two day,  light came from. Mrer Weetmaoott was	Me Adam two days before.	months ago the	committee offered me a
1895-10-03, five day,  oil which would besuPidetft for operating puiposes for five days of ten hours each.
1895-10-03, a day,  22500000 gallons a day from the Lea i eoon shake tne machine so that it would be
1895-10-03, every day,  180000000 gallons of filtered water were required every day for the supply of London which gave an average of about 33 gallons to each person in the
1895-10-03, few day,  A bear ate an Indian child a few days
1895-10-03, 210 day,  The British ship Stoneleigh from Mel. bourne for London is now 210 day* out and feart are entertained that ihe may
1895-10-03, Friday,  The eteameri Conilantine and Trevethick collided on Friday off the entrance of the River Tyne. The Constantine was out to the water's edge and foundered hut her
1895-10-03, principal day,  desperate act he has ever attempted was committed Tuesday of this wask but through the reticence of the prison officials ceremonies of (fie principal day of the 1hae been kept a secret until now. He
1895-10-03, Thursday,  A military train returning to Paris on Garibaldiens. The latter with banners would be materially increased. So instead Thursday night was wrecked and thirteen and bauds of music occupied the places of of being taken there Perry was removed to were killed and sixty injured.	honor.	one of the Hoisted cells in the new building.
1895-10-03, Sunday,  Orders have been issued to have the Seult hM oblAined lhe exclusive right to land a 8te. Marie Canal kept open on Sundays lubmarjDe cable in Hawaii is the occasion until the end of the season.	of much discussion in London among the
1895-10-03, Saturday,  Mr. and Mrs. Short!# the parents of advocates of a British cable to the island. Shortis the X alleyfield murderer arrived According to correspondence from Cowes in Montreal an Saturday rugnu	several prominent yachtsmen including the
1895-10-03, birthday,  Mrs. Lois Ramee Wood of Worcester Maes celebrated her 101st birthday last week. She is still active and vigorous.
Binary file 1895-10-03,  matches
1895-10-10, Saturday,  Friday and Saturday September 27 and 28
1895-10-10, 30th day,  been summoned for the despatch of busi- but also every other person of whom the ness on Wednesday the 30th day of this J laborer is accustomed to purchase the
1895-10-10, Tuesday,  s^.ue presided over by Chief Justice ton previously reported ashore at South-Meredith opened on Tuesday last and port has broken up and her cargo wash-were brought to a close to-day by the ed upon the beach. A number of Htintencmg of those found guilty. Mr. other small wrecks and minor casualties
1895-10-10, thirty day,  OMe that caused the most interest was the The Ottawa Journal says : The cut of py Parties Interested during thirty days from
1895-10-10, twenty day,  two different parties and was found guilty 000000 feet and will be divided as fol-	7Uhp the twenty days following
1895-10-10, 10th day,  l^ruers oy mail promptly at- Charged With passing counterfeit coin to Buell Orr and Co. 60000000 feet ;  Given at 8bawville this 10th day of Sep-
1895-10-10, yesterday,  shady tine of the street swinging a dainty aud stoo l above her like a statue.	Passage booked yesterday. They're all
1895-10-10, three day,  the men in not crying out u as very remark- Qw wu per#iu in kicking in spite of all ft. is in the provinces however in the able. We spent three days at me AIlia j precautions. For such I use a light rope seoiuded village# where time seems to burying the dead.	| with a hook at one end and a short chain | ba?e elood still for centuries that the
1895-10-10, busiest day,  it is a significant fact that emergency hospitals in New York add their testimony as to the benefit of Sunday closing. Sunday instead of being the busiest dayis now the
1895-10-10, the day,  At Hungerford there is a quaint custom which has not been allowed to fall into disuse since it was originated in the days of John of Gaunt. Two townsmen are chosen each year and carrying a pole decorated with flowers they go about the town visiting every house and demanding a kiss from every lady.
1895-10-10, before day,  On the morning of the 20th we stood to our arms just before daybreak. When the
1895-10-10, Sunday,  engageti in smuggling and he can fully will be Sunday Oct. 13 at 7 p. m	_
1895-10-10, Saturday,  waa burned on Saturday night. Had it not been for a favorable wind the entire stock in the yard would have been burnt.
1895-10-10, following day,  At the Shortis trial which commenced at lteauharnois on Wednesday last the afternoon was taken up in selecting a jury. The defence challenged every per son but one and he was challenged by the crown. When the panel was exhausted only seven had been accepted and the court issued an order that more be summoned to be in attendance the following day so that the requisite number of jury men might be obtained.
1895-10-10, following day,  most brutal assaults that has ever taken < CCjVn Armstrong that the meeting do now place in Renfrew county. It happened a j adJourn- -Carried oouple of days ago at Whitney. Hilliard a man named Whelan had a few words and on the following day Whelan demanded an apology. Hilliard said he had nothing toapolgize forand with that
Binary file 1895-10-10,  matches
1895-10-17, some day,  Mr. C. Caldwell lost a fine young horse on Tuesday from lockjaw caused by getting a nail in its foot some days previously.
1895-10-17, five day,  * e *	has been found alive after being five days
1895-10-17, Monday,  money to accompany the manuscript In every tewa on Monday.	munication from Maryland until we have
1895-10-17, Wednes day,  Pontiac Lodge A F. & A. M. on Wednes day night last.
1895-10-17, T day,  Office hour* from 8 a m  to 12 a.m. and T day lest p m. to 8 p.m	1
1895-10-17, this day,  ^n<1r*DrdeLVnc	lUx>vn* the boy's leg just above the knee. So and careful attention could do to wrest endon met this day ; members present ; her God. Whereupon the head of t1 e
1895-10-17, Monday,  hours.	I to the inevitable on Monday morning Wm. Elliott.	I the house
1895-10-17, other day,  Mr. Win. Clarke C. L. A exhibited a stalk of peas to The Equity the other day with eighty five well-filled
1895-10-17, other day,  A bear at Koeeeau killed a fine cow the other day.
1895-10-17, Sunday,  Seventy St. Catharines citizens were out hunting last Sunday.
1895-10-17, birthday,  The combined ages of six old men at6 St. Thomas birthday party was 490 years.
1895-10-17, other day,  Ten persons in Stratford the other day ate toadstools for mushrooms and sudered accordingly.
1895-10-17, few day,  Our new Store will be ready for business in a few days.
1895-10-17, to day,  but what are to day not less than 25 per cent cheaper than they were before the protective system was eaUblished.
1895-10-17, Monday,  for Chatham Ont. was struck on Monday	Mrs. Langtry has made a formal demand	he discusses a number of scientific expert-
1895-10-17, Saturday,  On Saturday evening Mr. Edward Flat- products and flourand Jamaica furnishing hB Gsblnel dulF eleot#d*	|	qualified to speak
1895-10-17, Saturday,  the boat ratification of the French treaty. ^ Heory M Stanley is in Sen Fran-Sir Julian Pauocefote on Saturday had a clgco
1895-10-17, other day,  was made the other day and although the new occupant of the ancient office la no
1895-10-17, few day,  Rochefort paid a flying visit to few days ago for the purpose of negotiating for the purchase of a painting by Goya which he secured for $8500. It it said that during his enforced stay in England he realised a email fortune by udicious picture buying.
1895-10-17, several day,  pe wore to be taken fatally ill it would kept a secret for several day#. Lately it has been arranged that not even the body
1895-10-17, Friday,  Friday and warn fatally injured.
1895-10-17, Friday,  The Texas Legislature has passed the brought into Montreal on Friday morning I anti prize fighting bill and it takes effect after being lightened of two hundred and immediately.
1895-10-17, festival day,  festival days and pretends to shoot himself. Several times he has been taken from the church to a hospital where it was found that the pistol he had used was harmless.
1895-10-17, 	g	FOR ALL PURPOSES
1895-10-17, Ten day,  Ten days after the date of closing of the petition will be given for letters to h the Ladies' Journal office from dis-
1895-10-17, today,  Before the people today and which stands preeminently above all other medicines is
1895-10-17, yesterday,  A prominent member of St. Barnabas yesterday admitted the advance of the ritualistic movement in the congre
1895-10-17, Friday,  The Ottawa Citizen of Friday lust
Binary file 1895-10-17,  matches
1895-10-31, Thursday,  Ii iwued from the office of Publication at Shawville every Thursday.
1895-10-31, Thursday,  Will be at SUawvllleflrst Thursday of each month.
1895-10-31, Monday,  $10000 on condition that he would	AVwW 500ZB uoxapsay	I Pieabytenait church on the Monday ful advice and plans of our pastor the Ven.
1895-10-31, Wednesday,  Mr. T. Q. Armitage of the G. V. Rtilway staff arrived here on Wednesday evening on a visit to friends.
1895-10-31, each day,  and pepper to taste. Melt enough hutte that is do not allow it to boil.	at the same hours each day. All stock	medals the Japanese heroes are rewarded
1895-10-31, today,  Prominently in the public eye today._
1895-10-31, by day,  that I was able to sit up and go about the house and occasionally go out if the A Warveilees fUairmeui hf a Prend* weather was fine. Day by day I grew
1895-10-31, each day,  each day in the schools.
1895-10-31, a day,  harriers between this country and the I 01* great kindred nations to the south. The Liberal party as long as I have anything to do with it will remain true to the cause until that cause is successful. 1 will not expect to win in a day but 1 am
1895-10-31, first day,  drown any self-discoveries ; and there are tlfully by the hedgerows.	As days passed she became conscious that He field	Japan ihe first day all the doll shops in
1895-10-31, The day,  Hie friends however thought he ha 1	h# had wntten nar nMne on ^e envelope	The day was foggy ; the afternoon was	of Augsberg in Bavaria	and was educated	All small	feminine children in	Japan are
1895-10-31, this day,  not au unusual sight especially on the holiday i-signed lo their sex. On this day the streets are bright with swarms of girls attired in the gaudiest raiment with h dressed in the most fantastic shai.es.
1895-10-31, holiday,  On the 5th of May the boys have their holiday. They own the country then. Every house has a gay pole of bamboo from which floats one or more gaudy fish made of tough paper. The wind bio into the mouths of these fish and inflates them. They float and writhe and wriggle in a moat natural way. Some of them
1895-10-31, 	CANADA*
1895-10-31, Friday,  Wheat shipments are going out at the rate gtenhen Hoyt of Lyndon ville Vt. has Switzerland on Friday and his long eubse- 425 were paid in the St. Lawrence and the Selkirk men.
1895-10-31, Tuesday,  covers a period of five years and h;e thrown from a mail waggon in New York	court Brooklyn on Tuesday before Jus-	property	in the various diet:ids the
1895-10-31, Monday,  ia* to the general policy of the Mr. Rieharl Esterbrcok founder of the Monday night. McGovern found Mrs. from the hnghsh Board of Directors. yrel etee| pen manufactory in the United% Uivver insensibly drunk in a vacant lot l* tiifl youngest man in the coun try to i g.atei aDd President of toe Esterbrook I en	Desr beP home. She elapsed in her arms a
1895-10-31, Friday,  to shut out their own engineers if the men ...I compel the Belfast yards to close. On $200990441 j Friday 3000 men in the Harlandand Wolff . 205633301 j BDg o:her yards at Belfast struck work
1895-10-31, Wednesday,  The Blair Government in New Brunswick was sustained by a large majority in the uenert'l election which took place on Wednesday Oct. 10. The returns show 34 ministerialists elected to V opposition*
1895-10-31, Saturday,  A bold robbery occurred Saturday even inu at F'Ulowfiold in which the mat! hag
1895-10-31, Wednesday,  A party of our village boys returned home on Wednesday evening from t partridge shooting expedition in the hack townships. They report having spent a very pleatumt week s outing and also bagged quite a number of birds. One of the young gttttlemsn whose
1895-10-31, Monday,  morrow w from Key West day states that General forced marches reached the province of Matanzas and that last Monday with 3 000 Cubans he engaged with a cavalry forer of 2800 Spaniards in the San Juan
1895-10-31, the day,  ed to the Court room (academy building) Mining in the Upper Country as thit where the sessions of the day were ht d plvt (lf the Province between tho Cascade*
1895-10-31, to day,  Herald" and Weekly Star to day. The and write whilst the better educated ami lumber pulp wood saw logs and other wood Fam.lyHerald ha won a world wide repu more intelligent one. remain in the eitie
Binary file 1895-10-31,  matches
1895-11-07, Thursday,  every Thursday.
1895-11-07, Thursday,  Will be at tiha wvllleflret Thursday of each month.
1895-11-07, second day,  t-ioT the Bank hay this day been declared Any that the Name will bo payah e at f he Hank and Be branches on and after Monday the second day of Decern her next.
1895-11-07, both day,  TDK TRAN8KKK BOOKS will he closed from the sixteenth to the thirtieth days of If# vember. both dayn Included.
1895-11-07, today,  Prominently In the public eye today.
1895-11-07, 14 day,  Maooo* -In Bristol on Saturday Nov. 2nd. Gilbert Magoon Eeq. aged &> years 10 months and 14 day*.
1895-11-07, Tuesday,  Tuesday and revoked the charter thus Remember the shabby turnout y -u hau
1895-11-07, needay,  dissolving the high Court but on Wed- last Christmas and consider your appear-needay called the brethren to Chicago ance in a new one this Christmas but do and formed a new High Court under the not stop at that complete your considers-license granted to the Insurance Depart- tion by buying new Harness from f the State last week to the 8u-	____ ____ _____
1895-11-07, the day,  half. Boll the cider the day before you
1895-11-07, Monday,  The model saloon is the latest thing promised by the temperance reformers of New York. The Church Temperance Society of the Protestant Episcopal Church received at a meeting held last Monday a report from its Secretary Mr. Robert Graham as to the type of temperance saloon it would be advisable to build in a great city like New York. Mr. Graham was sent abroad
1895-11-07, fifth day,  workingman ; a system of small wagons UUMk Qn the fifth day the rain ceased supplying waiting coachmen cab- having the earth and its atmosphere men and attendants on opera and thea- fulj o{ m(iHlure.
1895-11-07, all day,  all day long not even venturing forth
1895-11-07, few day,  ers Princess Victoria and Maud arrived The Commission appointed to codify I progress of the dairy industry. lie ap in London a few days ago from Copen- the civil procedure has completed its la- proved of the Government s colonization hagen where the party had made a long hors. You will this sessionbe in a poai- policy but hoped thet something would visit to King Christian and Queen Louis lion to study in its intirety the draft oe done to give the poor farmers in his the parents of the Prncesa of Wales. copy which it has prepared. 1 am con- own county for instance an opportunity
Binary file 1895-11-07,  matches
1895-11-14, this day,  Town Hall Shawvilie No?. 9th 94. Board of School Commissioners of the Municipality of Clarendon met this day. Members present : James Hart chairman; commissioners W. B. Hodgine William
1895-11-14, Thursday,  Shawvilie every Thursday.
1895-11-14, . day,  A. M. 0RIME8. days ago ill with typhoid fever sue
1895-11-14, Thursday,  bed to the disease on Thursday of last A brother of this young man was killed in the woods last winter while working for the same concern. Much
1895-11-14, Friday,  Friday each week from now until let
1895-11-14, Thursday,  Will be at dhawvllleflrst Thursday of each month.
1895-11-14, exhibition day,  Last Thursday witnessed the largest gathering of farmers in our streets that Pakenham has an expert milliner in | ^ occurred since exhibition day. The the person of Mr. Frank Abemethy. cause was the delivery of several hundred
1895-11-14, Tuesday,  Oil Tuesday last 5th inst. Mr. James
1895-11-14, Wednesday,  Eades which took place from his father a ln matrimony to Miss Margaret Glenn - I residence on Wednesday afternoon last 0f the same place. The ceremony
1895-11-14, Friday,  lair Dressing Parlor ln building.	the last sad duty to a departed brother. on Friday night. Much good has
1895-11-14, Friday,  fall on Friday last. They were working HHHHI	HI
1895-11-14, Friday,  Mr. Graham had procured a few barrels Turpain and the bridesmaid was Miss of apples for the occasion and at the Elias Ardill. The bride was given away close of the program these appeared and by her brother Mr. John Ardill. disappeared with considerable rapidity. The happy couple returned home on How many of them survived the attack Friday night and were welcomed by Mrs. deponent saith not but the manner in Campbell ar. and a few friends when a which they vanished for a time would iu- quiet little supper was enj<yed. The dicate that the value of these barrels de- regular wedding breakfast had predated seriously between 9 and 10 been served after the ceremony at the J/dock	Ottawa House Portage du Fort where
1895-11-14, the day,  any hour of the day or night l am at	carefully raised the lid. Both Martha	to taste. Allow the butter to get very	Dont fiqd fault.	milk or some gentle stimulant- like
1895-11-14, Saturday,  ten days ago died on Saturday at the A prairie fire burned over a tract il.V.	Iiehulf thanks all those who co-operated or agent of a bank can borrow money
1895-11-14, Saturday,  * Saturday night and two bodies were	Mias Flagler of Washington daugh-	pense with his services.	from 12s to 16s per barrel ; Greenings	easier prices prevail. The improvement
1895-11-14, Friday,  land which brought the disabled steam-	on Friday That if Russia and China	them would perish. He thinksi t hi	urea against sheep from those coun-	ery. The long continued lack of rain is
1895-11-14, few day,  lease the vessel which held a Canadian Kearsarge when she	was wrecked	on	few days	and he	was consulted as a	tnony who followed the man and appre-	moralized condition and prices are fast
1895-11-14, I day,  Richard two and a half times ss much Slates a duty of $4000000. In the J^QfriSQH S cotton as we import ; therefore the cot-1 same year the American farmers sold in ton producers get $2.60 for every $1.00 our markets nearly $16000.000 worth T'a A+AW* that goes into the treasury. Of woolen I 0f their products without paying into the | * wV We Jr goods we manufacture and consume forty Canadian treasury. The Grit policy to-times aa much as we import ; therefore I day is to bring about a similar state of according to Sir Richard the woollen affairs
1895-11-14, other day,  oott the other day Mr. Laurier did not
1895-11-14, to day,  Hon. Mr. Taillon to day introduced his hill repealing the Act imposing commercial taxes and licenses. It will oome into force next October.
1895-11-14, Thursday,  yoed attained. The gentlemen from Thursday. He is 8U years old.
1895-11-14, Wednesday,  in the Dominion Perliement by the deeth Wednesday last of Mr. S.mard Liberal member for Charleroii County. Sir. Knndfcd warn firmt returned to Perliement at the last general election.
1895-11-14, Wednesday,  The battery of boilers in the building of the Detroit Evening Journal exploded at 9 o'clock on Wednesday morning last wracking the building Nos. 46 and 47 West Lsrned street killing at least 40 persons wounding 20 others more or less seriously and causing a loss of $00000.
Binary file 1895-11-14,  matches
1895-11-21, Tuesday,  On Tuesday of last week an old man named Lepipe was struck try a C. P R. engine near Renfrew station and instantly
1895-11-21, Saturday,  Mr. Nathaniel Brownlee one of the oldest residents of Ysrm neighborhood died on Thursday last. Hi# remains were interred here on Saturday afternoon
1895-11-21, Thursday,  Shawville every Thursday.
1895-11-21, Thursday,  A social will be held at the Parsonage of St. Paul's church Thursday nightNov. 28 in aid of missionary work. All are invited.
1895-11-21, Friday,  Friday Nov. 22nd
1895-11-21, Friday,  Friday each week from now until let of January is to be our special
1895-11-21, Thursday,  Will be at Shawvllleflret Thursday of each month.
1895-11-21, Tuesday,  Mr. Edward Graham of Elmside from whom we had a call on Tuesday informs oa that he will be finished pressing hay in Bristol by the end of November after which lime he will remove his machine into Clarendon when those requiring its use will have an opportunity of getting their woik done.
1895-11-21, Thursday,  Dr. J. C. Rattray of Cobden whote illness was mentioned in these columns 2 weeks ago passed peacefully away at his residence on Tuesday the 12th inat. aged 44 years. His remains were interred in the Presbyterian cemetery Cobden. on Messrs. Edward Hodgins & Sons are Thursday afternoon ie presence of a large making some changes in the interior of concourse of people. Deceased was the their store whereby more shelf room will eldest son of D. M. Rattray Esq. of P. be afforded.	D- Fort.
1895-11-21, Monday,  Mr Frank Bissonette and party of A stage driver has received damage# Ottawa returned home on Monday after from Loughboro township for failing to a week's hunting in Leslie. The carcase remove snow from their roads. The stage of an "antlered monarch" showed to what driver after complaining frequently to extent the expedition had been successful the township council without result was
1895-11-21, Friday,  Superior Schools for the province examin His widow was left her present residence threatening all sorts of things if the seiz ed the Academy here on Friday last. In and household effects $16000 and an an uree are persisted in. It is expected there the evening in accordance with announce ouity of $2.000 a year.	will be considerable trouble and probably
1895-11-21, second day,  The second day after our misfortune fore him.
1895-11-21, Saturday,  effect via Vancouver. The rates are Wilkins took place on Saturday after-1 er*	The trade situation at Montreal is
1895-11-21, so day,  between Cardinal and Cornwall is so day morning at Buena Bark ill. lie ^roin be tracks leaving the engine era and has lieen offered very low on ?? Iu5 uf 1 16 ^terest involved and in
1895-11-21, to day,  is much greater to day than then. To
1895-11-21, one day,  and you must be one day or other one
1895-11-21, Ten day,  Ten days after the date of closing of the j cured hy Karl's Clover Root Tea. competition will be given for letters to
1895-11-21, ten day,  You may gain ten pounds in ten daya
1895-11-21, nesday,  been given to eeaae the massacres. The the Legislative Council which on Wed Sultan fears joint European action and nesday waa blocked by the moving of tin regards the concurrent concentration of 11 previous question " is again to be mtr .
1895-11-21, Saturday,  its first meeting on Saturday. The Porte
1895-11-21, Friday,  On Friday the Premier brought down and the country in the vicinity laid waste. I ^ estimates of expenditure for the fiscal
1895-11-21, to day,  government is obtaining a record of the to day are less by $204281 09 than those | hostile British AGRICULTURISTS am to
1895-11-21, yesterday,  1 If subscribers neglect to take their per- was distributed in the House yesterday dollar settlements ; ahe gets her full price lodlcals irom the offlee to which they aie afternoon is very voluminous and one of and takes it promptly. Most of you have
Binary file 1895-11-21,  matches
1895-11-28, Thursday,  Is issued from the office of Publication at 8hswville every Thursday.
1895-11-28, Saturday,  There was a large market on Saturday and business was lively. The various commodities offered and the prices were ;
1895-11-28, Friday,  Friday November 29th
1895-11-28, atShawvllleflrstThursday,  Will be atShawvllleflrstThursday ofeaoh month.
1895-11-28, other day,  How much money and effort is wasted by church denominations was illustrated the other day at a meeting of the Presbyterian Synod at Winnipeg when one of the missionaries told that at the village of Pipestone with a population of 30 or 40 four denominations were struggling with churches while the pagan Indians within three miles of them had not heard the Gospel until recently.
1895-11-28, Wednesday,  A very end shooting accident occurred in the neighborhood of Utter Lake ou Wednesday afternoon of last week the particulars of which briefly stated are as
1895-11-28, every day,  panton fall Sam shouted to hi. brother when anything Canadian beat the who had gone to one side for a few yard- w*r|<] it becomes every day talk every-aud did not witness the accident but im where. A very notable event in this way agined the shot he heard to have also been -8 noW	recorded. The Family Her-
1895-11-28, the day,  Owing to the absence of deceased's brother Peter and m order that the latter might be present thereat the obtt-a did not take place until Wednesday of week. Dunug the interval that elapsed from the occurrence of the lamentable ac cident up the day on which the last sad rites were performed a very large number of people called to express their sorrow with the sorely afflicted relatives and take a last parting look at the features of the departed ms they calmly reposed in 1% embrace of Death.
1895-11-28, Tuesday,  Mr. J. A. Lucas announces that he will open his new blacksmith shop at Bristol Ridge on Tuesday of next week.
1895-11-28, Wednesday,  A social was held in the court room on Wednesday evening under the auspices of the Parochial Temperance Society. A program of music was carried out and an enjoyable time was spent.
1895-11-28, Tuesday,  The remains of Mrs. Goodie of Beach* burg (formerly Miss Mary Ann Cline of this village ) were interred here on Tuesday evening of this week having been brought up from the Ottawa hospital.
1895-11-28, Saturday,  On Saturday the 10th inst. as Fransa Johnson a Cud ben young man was in the act of pushing off his canoe at the lake shore a abut gun the muzzle of which pointed towards him was in some discharged and the whole contents of the barrel entered the lower part nf his abdomeninflicting a terrible wound from which the unfortunate man died in two hours afterwards.
1895-11-28, Saturday,  Saturday Night : "I wonder what one could eay about this book that would induce the Intelligent reading public of Canada ta greet it with the whirlwind of approval that fte merlin deeerve. ... It le one of the few books written by Canadians and most of the stories are located in Canada.N
1895-11-28, today,  Prominently In the publie eye today.
1895-11-28, ten day,  -yr YOU may gain ten y Pounds in ten days.
1895-11-28, Tuesday,  Mr. Taillon on Tuesday of this week in of ocean freights now practically only a Good Old V3.l0ncicl R&ISinS 3i CtS.
1895-11-28, Thirty day,  to clear out every Coat during the next Thirty days if our efforts and low prices will do it.
1895-11-28, Saturday,  The final shipment of cattle for the son to Great Britain was made by the Beaver Line steamer Like Huron which sailed for Liverpool on Saturday last.
1895-11-28, today,  fr-'m Caracas received today that the	Christmas and consider your appear-	good order t	v
1895-11-28, yesterday,  A telegram received in Constantinople yesterday says that bands of marauding Circassians are plundering the village of
1895-11-28, Wednesday,  Wednesday. The Government has issued an order prohibiting the English newspapers of the date of Nov. 19 German papers of November 18 and American papers of November 18 and 19 from entering the
1895-11-28, s day,  	__ It might lie perhaps s day or two
1895-11-28, two day,  frankness she could be ver> ret'I know it is none of my business when she chose and she never ail < - miss ; but something I heard two days
1895-11-28, Sunday,  Zest any desire to see the vdlage or heard to Mrs. Farquharson ; so go to tlit- church on Sundays. 1	' 1 thought I might safely tell you. 
1895-11-28, and day,  The pirates were unable to secure tbv ransom which they demanded and so they took him with them always as a captive on some of their forays by land and sea in Southern China. His chains were taken off. hut he was always care fully guarded. Ills captors treated kindly hut he had to undergo many great hardships. His only garment was a pair of thin silk trousers and his head and feet were bare. One forced march which he made lasted twenty-seven days he and the rest of the band travelling night and day with only the briefest intervals for sleep. The weather was cold hut their journey was made without tents or blankets.
1895-11-28, the day,  lv-v. Mr. Cairns chairman of the Pembroke district preached in the Methodist church here on Sunday evening his sermon being of a missionary character. At the close t f tho service lie announced that the rum of (91 had been collected during the day for missionary purposes.
1895-11-28, Saturday,  n Saturday n ght. All report hav* Mr. Lumieux expressed himself against
1895-11-28, Thursday,  Chicago had a half million dollar fire on Thursday. Several factories were destroy
1895-11-28, Friday,  Mrs. R. W. Thompson left on Friday to spend the winter with her parents at
Binary file 1895-11-28,  matches
1895-12-05, Thursday,  It iwoed from the office of Publication el Bhswfille every Thursday.
1895-12-05, Monday,  rosnsblpfrer __	Eleven men weie killed at Brewster treal 091 Monday of Isai week when judg-
1895-12-05, Friday,  Friday December 6th
1895-12-05, Sunday,  w . 	 .	. 0 m	hop of Montreal Sunday the 8th inet.	eioDer Crown Lands for the lease of all
1895-12-05, Sunday,  f Agricultural Society No. 1 the reason diocese as Temperance Sunday. The Rev. either aide of the O  <fc O. V. Railway..	. ^	
1895-12-05, grounds day,  IO pay ihe grant on tbe same old grounds day.	ed the railway company hope to bring The Swift Company of Entertainers are
1895-12-05, everyday,  rain came on. and I hurried along for t)0y ne gave instructions to have I you happened to go to the village this tionised the art of war is an everyday years old son of sturdy country par-
1895-12-05, yesterday,  tie island not far from the house were rather unexpectedly and with scarce- | ed yesterday. He will do
1895-12-05, yesterday,  did not think of the persons ascend- ao certain yesterday afternoon why though it did. he dare not risk going If the attack ia kept secret It probably Fpicfl 8Ugar. or of vinegar etc. la suf-ing to the upper story yet I paused to did you not telegraph at once to head- there. He will reach London before will succeed with ease; if the enemy ia fiaient for his needs. A single drop of
1895-12-05, every day,  yrho is strong and lusty and gives the pleasure-loving higher class of those cite them for it will always result in ( lg. savages l< m8 a reversion to a^d surprise without having previously promue of a vigorous reign after the meriT Ualian citiea.	a lose of milk. Salt every day. or bet- an ammal-hke type. Still another apprised her thereof U seldom genu-
1895-12-05, feif eh #####
1895-12-05, each day,  a lose of milk. Salt every day or bet- an animal-like type. Still another ter still have salt where they can have fornf is that in which the little toe constant access to it. Our cattle are hideout of the barn a short time each day.
1895-12-05, Tuesday,  Tuesday of last wees to ask for a grant I Mr. Boomer also denies the report that of laud of 10000 scree per mile to the he contemplates the erection of a large Ottawa River	Bon. Mr. Tallinn I hotel.
1895-12-05,  .'S-Sr* fts Horsisliei 14 Bipairni blacksmith wobz
1895-12-05, Thursday,  or of later centuries the armies of Nae The Dominion Line steamship Lal>- at an early hour on Thursday morning. I are having a '^pressing effect. The de- ()f the mon lie dead but the fifth was
1895-12-05, ten day,  You may gain ten Pounds In ten days.
1895-12-05, Friday,  Friday Deo. 13 inst.
Binary file 1895-12-05,  matches
1895-12-12, Thursday,  Hhawville every Thursday.
1895-12-12, Thursday,  Will be at Shawvllledrst Thursday ofeacb month.
1895-12-12, Monday,  If Shawville Que. respectfully solicits c untr> to ( aiuvU.	however will have a chance to supply this village on Monday	Cull and see them
1895-12-12, Thursday,  Mr. Seymour Greemhields of Bristol is reported to have crossed Chats Lake Thursday of last week. He was the first .	.	t0 venture across the ice that we bave
1895-12-12, Monday,  UPNDY AVI CIU hoteI men are it is said anxious to pur Monday morning last accompanied by c*on. lUlIway will apply fur an act to re ""	W M I LCIly chase the Windsor hotel of Montreal three men -hie two eons and W. J.Judd ^lve lla power to extend its railway to
1895-12-12, Saturday,  At a meeting held this evening the and on (Saturday evening preceding his wit wme three years ago on the railway | the Company is about f 1000 following officers were elected to hold of- demise it is related he ate a heartv nesr Hreckenridge. Some twelve horses ' tice for the ensuing year :	# . meal before he retired. Mr Hodgins 14 wiM ** remembered were silled by the
1895-12-12, nrday,  _	_	_ _	__-______ M Silas Young.Chaplain arrowing widow he leaves a family of	Abbott which was considered a nrday and as the various commodities
